epoch,train_loss,pixel,percep,id,ssim_loss,val_loss,gap,lr,time_hours
31,0.44520037401911694,0.03655531887034527,0.828547058749373,0.07086120532570288,0.2033291035131623,,,0.0001,2.96632448832194e-07
32,0.4437984649910737,0.03636798452033033,0.8262324064414093,0.07055692959634251,0.20252528847085685,,,0.0001,0.4179817506339815
33,0.44290220648026135,0.03604832868524566,0.8249171054276236,0.07060476286761275,0.2019755973723103,,,0.0001,0.8376433803637823
34,0.44188822509791925,0.036310368151814106,0.8230465227089949,0.06978413311572744,0.20139399139453798,,,0.0001,1.2577899754709667
35,0.440673068999664,0.036294831176018776,0.8210151498141757,0.06953954412650985,0.2005291890537265,0.4827109444525934,0.04203787545292936,0.0001,1.6743933887614144
36,0.4394053630198489,0.03573380021827064,0.8191655546499285,0.06962756903212146,0.19986679625530507,,,0.0001,2.1343721103668214
37,0.43858049728961274,0.03550330717010848,0.8181591285309555,0.0691553389673202,0.19933529071274175,,,0.0001,2.5522620544830956
38,0.4375157305020582,0.03553591583555584,0.8163081997309095,0.06877017763215937,0.19867612386465267,,,0.0001,2.9679776279793844
39,0.4367384459077103,0.035546997477453796,0.814854278761685,0.06875913814374904,0.19817849962283998,,,0.0001,3.3858768437306086
40,0.4354201936180381,0.03492046778134863,0.8132143605074453,0.06862884810661167,0.19737109085069085,0.48022161164591387,0.044801418027875795,0.0001,3.802736875547303
41,0.43494875258966276,0.03512496894432439,0.8123040308047386,0.06801628847723556,0.19715347303574587,,,0.0001,4.2703596907191805
42,0.43395938584694316,0.034927498367943614,0.8105522293630695,0.0684794631438437,0.1964471102340958,,,0.0001,4.690027516616715
43,0.4334115814311854,0.03471842094718056,0.8098775945537379,0.06824083487289472,0.1961328931098437,,,0.0001,5.104129682381948
44,0.4324936588315198,0.0347200621913481,0.8084514713442045,0.06726761476498547,0.19574876776190184,,,0.0001,5.516432356569502
45,0.43152828651139724,0.0344529510607878,0.8071468050462486,0.06720817560407077,0.19500361447013304,0.47558519955604306,0.04405691304464582,0.0001,5.929564685424169
46,0.4312563411655797,0.03488199624315279,0.8061796901483219,0.06687868840309633,0.19491930034038793,,,0.0001,6.386449406610595
47,0.4306940346206965,0.034736404467346896,0.805243859567588,0.06714506027955691,0.19449816766253158,,,0.0001,6.800126176542706
48,0.42944645519094166,0.034101483524631215,0.8039487745833416,0.06659393880247393,0.19374351750905205,,,0.0001,7.21512415766716
49,0.4286090957132279,0.03397459327413218,0.8027949634839728,0.06587560544967265,0.19332170931188827,,,0.0001,7.629621102743679
50,0.4282969163137051,0.03423968668413762,0.8017741083518722,0.06647887447696339,0.1929291153186139,0.47485387805969487,0.04655696174598978,0.0001,8.04414208094279
51,0.42764390617101444,0.0339878104651303,0.8009627743262347,0.06606454772622433,0.1926299323420745,,,0.0001,3.2358699374728735e-07
