epoch,loss_g,loss_d,loss_adv,val_loss,gap,lr_g
51,0.48545264448465997,0.4680545221763419,0.3356590971096879,,,5e-05
52,0.5025873352914735,0.4582989127869927,0.354315703875247,,,5e-05
53,0.5082577612713306,0.4635296535752986,0.3540960624270196,,,5e-05
54,0.5120572266739167,0.4594872375861088,0.353488264854662,,,5e-05
55,0.5172984316546262,0.4543490774343387,0.3608014508115017,0.5322048477588162,0.014906416104189968,5e-05
56,0.5203974690508861,0.4554028094588308,0.36567919625200496,,,5e-05
57,0.5210577785872098,0.44988840915087464,0.3680785979111796,,,5e-05
58,0.5240942030202443,0.45148491632232607,0.3721938466189455,,,5e-05
59,0.5248640030985041,0.44358060049121206,0.37602294601397307,,,5e-05
60,0.5255236266496601,0.44300501385744473,0.3756215429629916,0.5338302773814048,0.008306650731744636,5e-05
61,0.5260080100072658,0.4414528612189436,0.3800760500151166,,,5e-05
62,0.5256911327175657,0.4406878667591262,0.38021054161774465,,,5e-05
63,0.5264002816133739,0.43841720936217154,0.3800122525968981,,,5e-05
64,0.5272815180617624,0.4350116391759139,0.38324464836429023,,,5e-05
65,0.5290688783389615,0.4343040900943923,0.38722029335597424,0.5502389061835504,0.02117002784458888,5e-05
66,0.5291384886844508,0.432871231753364,0.39326716738315687,,,5e-05
67,0.5442577224868348,0.33436896879790956,0.5194549570698518,,,5e-05,0.4,0.05
68,0.5463762655552092,0.3501409700220422,0.5262703958110218,,,5e-05,0.4,0.05
69,0.546448261440042,0.3527005836790592,0.5302218519519812,,,5e-05,0.4,0.05
71,0.546509735147255,0.3505879285634289,0.5295565487380349,,,5e-05,0.4,0.05
72,0.5470015584987445,0.34660844311468597,0.5396257207426035,,,5e-05,0.4,0.05
73,0.5477683855959389,0.353545420433773,0.5395658400728514,,,5e-05,0.4,0.05
74,0.5471487018458745,0.3503171199477985,0.542132448317409,,,5e-05,0.4,0.05
75,0.5474122174609897,0.35076077058850896,0.5399853286045602,0.5908459782600403,0.04343376079905059,5e-05,0.4,0.05
